Trade,PaperType,PaperDurationMinutes,PaperTotalQuestions,PaperTotalMarks,Question,OptionA,OptionB,OptionC,OptionD,CorrectAnswer,Marks
JE NE REMUST,WP-I,60,70,70,JE NE REMUST WP-I practice question 014,JE NE REMUST WP-I topic 3 - Concept overview,JE NE REMUST WP-I topic 3 - Applied example,JE NE REMUST WP-I topic 3 - Field scenario,JE NE REMUST WP-I topic 3 - Troubleshooting step,B,1.00
JE NE REMUST,WP-I,60,70,70,JE NE REMUST WP-I practice question 015,JE NE REMUST WP-I topic 3 - Concept overview,JE NE REMUST WP-I topic 3 - Applied example,JE NE REMUST WP-I topic 3 - Field scenario,JE NE REMUST WP-I topic 3 - Troubleshooting step,C,1.00
JE NE REMUST,WP-I,60,70,70,JE NE REMUST WP-I practice question 016,JE NE REMUST WP-I topic 4 - Concept overview,JE NE REMUST WP-I topic 4 - Applied example,JE NE REMUST WP-I topic 4 - Field scenario,JE NE REMUST WP-I topic 4 - Troubleshooting step,D,1.00
JE NE REMUST,WP-I,60,70,70,JE NE REMUST WP-I practice question 017,JE NE REMUST WP-I topic 4 - Concept overview,JE NE REMUST WP-I topic 4 - Applied example,JE NE REMUST WP-I topic 4 - Field scenario,JE NE REMUST WP-I topic 4 - Troubleshooting step,A,1.00
JE NE REMUST,WP-I,60,70,70,JE NE REMUST WP-I practice question 018,JE NE REMUST WP-I topic 4 - Concept overview,JE NE REMUST WP-I topic 4 - Applied example,JE NE REMUST WP-I topic 4 - Field scenario,JE NE REMUST WP-I topic 4 - Troubleshooting step,B,1.00
JE NE REMUST,WP-I,60,70,70,JE NE REMUST WP-I practice question 019,JE NE REMUST WP-I topic 4 - Concept overview,JE NE REMUST WP-I topic 4 - Applied example,JE NE REMUST WP-I topic 4 - Field scenario,JE NE REMUST WP-I topic 4 - Troubleshooting step,C,1.00
JE NE REMUST,WP-I,60,70,70,JE NE REMUST WP-I practice question 020,JE NE REMUST WP-I topic 4 - Concept overview,JE NE REMUST WP-I topic 4 - Applied example,JE NE REMUST WP-I topic 4 - Field scenario,JE NE REMUST WP-I topic 4 - Troubleshooting step,D,1.00
JE NE REMUST,WP-I,60,70,70,JE NE REMUST WP-I practice question 021,JE NE REMUST WP-I topic 5 - Concept overview,JE NE REMUST WP-I topic 5 - Applied example,JE NE REMUST WP-I topic 5 - Field scenario,JE NE REMUST WP-I topic 5 - Troubleshooting step,A,1.00
JE NE REMUST,WP-I,60,70,70,JE NE REMUST WP-I practice question 022,JE NE REMUST WP-I topic 5 - Concept overview,JE NE REMUST WP-I topic 5 - Applied example,JE NE REMUST WP-I topic 5 - Field scenario,JE NE REMUST WP-I topic 5 - Troubleshooting step,B,1.00
JE NE REMUST,WP-I,60,70,70,JE NE REMUST WP-I practice question 023,JE NE REMUST WP-I topic 5 - Concept overview,JE NE REMUST WP-I topic 5 - Applied example,JE NE REMUST WP-I topic 5 - Field scenario,JE NE REMUST WP-I topic 5 - Troubleshooting step,C,1.00
JE NE REMUST,WP-I,60,70,70,JE NE REMUST WP-I practice question 024,JE NE REMUST WP-I topic 5 - Concept overview,JE NE REMUST WP-I topic 5 - Applied example,JE NE REMUST WP-I topic 5 - Field scenario,JE NE REMUST WP-I topic 5 - Troubleshooting step,D,1.00
JE NE REMUST,WP-I,60,70,70,JE NE REMUST WP-I practice question 025,JE NE REMUST WP-I topic 5 - Concept overview,JE NE REMUST WP-I topic 5 - Applied example,JE NE REMUST WP-I topic 5 - Field scenario,JE NE REMUST WP-I topic 5 - Troubleshooting step,A,1.00
JE NE REMUST,WP-I,60,70,70,JE NE REMUST WP-I practice question 026,JE NE REMUST WP-I topic 6 - Concept overview,JE NE REMUST WP-I topic 6 - Applied example,JE NE REMUST WP-I topic 6 - Field scenario,JE NE REMUST WP-I topic 6 - Troubleshooting step,B,1.00
JE NE REMUST,WP-I,60,70,70,JE NE REMUST WP-I practice question 027,JE NE REMUST WP-I topic 6 - Concept overview,JE NE REMUST WP-I topic 6 - Applied example,JE NE REMUST WP-I topic 6 - Field scenario,JE NE REMUST WP-I topic 6 - Troubleshooting step,C,1.00
JE NE REMUST,WP-I,60,70,70,JE NE REMUST WP-I practice question 028,JE NE REMUST WP-I topic 6 - Concept overview,JE NE REMUST WP-I topic 6 - Applied example,JE NE REMUST WP-I topic 6 - Field scenario,JE NE REMUST WP-I topic 6 - Troubleshooting step,D,1.00
JE NE REMUST,WP-I,60,70,70,JE NE REMUST WP-I practice question 029,JE NE REMUST WP-I topic 6 - Concept overview,JE NE REMUST WP-I topic 6 - Applied example,JE NE REMUST WP-I topic 6 - Field scenario,JE NE REMUST WP-I topic 6 - Troubleshooting step,A,1.00
JE NE REMUST,WP-I,60,70,70,JE NE REMUST WP-I practice question 030,JE NE REMUST WP-I topic 6 - Concept overview,JE NE REMUST WP-I topic 6 - Applied example,JE NE REMUST WP-I topic 6 - Field scenario,JE NE REMUST WP-I topic 6 - Troubleshooting step,B,1.00
JE NE REMUST,WP-I,60,70,70,JE NE REMUST WP-I practice question 031,JE NE REMUST WP-I topic 7 - Concept overview,JE NE REMUST WP-I topic 7 - Applied example,JE NE REMUST WP-I topic 7 - Field scenario,JE NE REMUST WP-I topic 7 - Troubleshooting step,C,1.00
JE NE REMUST,WP-I,60,70,70,JE NE REMUST WP-I practice question 032,JE NE REMUST WP-I topic 7 - Concept overview,JE NE REMUST WP-I topic 7 - Applied example,JE NE REMUST WP-I topic 7 - Field scenario,JE NE REMUST WP-I topic 7 - Troubleshooting step,D,1.00
JE NE REMUST,WP-I,60,70,70,JE NE REMUST WP-I practice question 033,JE NE REMUST WP-I topic 7 - Concept overview,JE NE REMUST WP-I topic 7 - Applied example,JE NE REMUST WP-I topic 7 - Field scenario,JE NE REMUST WP-I topic 7 - Troubleshooting step,A,1.00
JE NE REMUST,WP-I,60,70,70,JE NE REMUST WP-I practice question 034,JE NE REMUST WP-I topic 7 - Concept overview,JE NE REMUST WP-I topic 7 - Applied example,JE NE REMUST WP-I topic 7 - Field scenario,JE NE REMUST WP-I topic 7 - Troubleshooting step,B,1.00
JE NE REMUST,WP-I,60,70,70,JE NE REMUST WP-I practice question 035,JE NE REMUST WP-I topic 7 - Concept overview,JE NE REMUST WP-I topic 7 - Applied example,JE NE REMUST WP-I topic 7 - Field scenario,JE NE REMUST WP-I topic 7 - Troubleshooting step,C,1.00
JE NE REMUST,WP-II,60,70,70,JE NE REMUST WP-II practice question 001,JE NE REMUST WP-II topic 1 - Concept overview,JE NE REMUST WP-II topic 1 - Applied example,JE NE REMUST WP-II topic 1 - Field scenario,JE NE REMUST WP-II topic 1 - Troubleshooting step,A,1.00
JE NE REMUST,WP-II,60,70,70,JE NE REMUST WP-II practice question 002,JE NE REMUST WP-II topic 1 - Concept overview,JE NE REMUST WP-II topic 1 - Applied example,JE NE REMUST WP-II topic 1 - Field scenario,JE NE REMUST WP-II topic 1 - Troubleshooting step,B,1.00
JE NE REMUST,WP-II,60,70,70,JE NE REMUST WP-II practice question 003,JE NE REMUST WP-II topic 1 - Concept overview,JE NE REMUST WP-II topic 1 - Applied example,JE NE REMUST WP-II topic 1 - Field scenario,JE NE REMUST WP-II topic 1 - Troubleshooting step,C,1.00
JE NE REMUST,WP-II,60,70,70,JE NE REMUST WP-II practice question 004,JE NE REMUST WP-II topic 1 - Concept overview,JE NE REMUST WP-II topic 1 - Applied example,JE NE REMUST WP-II topic 1 - Field scenario,JE NE REMUST WP-II topic 1 - Troubleshooting step,D,1.00
JE NE REMUST,WP-II,60,70,70,JE NE REMUST WP-II practice question 005,JE NE REMUST WP-II topic 1 - Concept overview,JE NE REMUST WP-II topic 1 - Applied example,JE NE REMUST WP-II topic 1 - Field scenario,JE NE REMUST WP-II topic 1 - Troubleshooting step,A,1.00
JE NE REMUST,WP-II,60,70,70,JE NE REMUST WP-II practice question 006,JE NE REMUST WP-II topic 2 - Concept overview,JE NE REMUST WP-II topic 2 - Applied example,JE NE REMUST WP-II topic 2 - Field scenario,JE NE REMUST WP-II topic 2 - Troubleshooting step,B,1.00
JE NE REMUST,WP-II,60,70,70,JE NE REMUST WP-II practice question 007,JE NE REMUST WP-II topic 2 - Concept overview,JE NE REMUST WP-II topic 2 - Applied example,JE NE REMUST WP-II topic 2 - Field scenario,JE NE REMUST WP-II topic 2 - Troubleshooting step,C,1.00
JE NE REMUST,WP-II,60,70,70,JE NE REMUST WP-II practice question 008,JE NE REMUST WP-II topic 2 - Concept overview,JE NE REMUST WP-II topic 2 - Applied example,JE NE REMUST WP-II topic 2 - Field scenario,JE NE REMUST WP-II topic 2 - Troubleshooting step,D,1.00
JE NE REMUST,WP-II,60,70,70,JE NE REMUST WP-II practice question 009,JE NE REMUST WP-II topic 2 - Concept overview,JE NE REMUST WP-II topic 2 - Applied example,JE NE REMUST WP-II topic 2 - Field scenario,JE NE REMUST WP-II topic 2 - Troubleshooting step,A,1.00
JE NE REMUST,WP-II,60,70,70,JE NE REMUST WP-II practice question 010,JE NE REMUST WP-II topic 2 - Concept overview,JE NE REMUST WP-II topic 2 - Applied example,JE NE REMUST WP-II topic 2 - Field scenario,JE NE REMUST WP-II topic 2 - Troubleshooting step,B,1.00
JE NE REMUST,WP-II,60,70,70,JE NE REMUST WP-II practice question 011,JE NE REMUST WP-II topic 3 - Concept overview,JE NE REMUST WP-II topic 3 - Applied example,JE NE REMUST WP-II topic 3 - Field scenario,JE NE REMUST WP-II topic 3 - Troubleshooting step,C,1.00
JE NE REMUST,WP-II,60,70,70,JE NE REMUST WP-II practice question 012,JE NE REMUST WP-II topic 3 - Concept overview,JE NE REMUST WP-II topic 3 - Applied example,JE NE REMUST WP-II topic 3 - Field scenario,JE NE REMUST WP-II topic 3 - Troubleshooting step,D,1.00
JE NE REMUST,WP-II,60,70,70,JE NE REMUST WP-II practice question 013,JE NE REMUST WP-II topic 3 - Concept overview,JE NE REMUST WP-II topic 3 - Applied example,JE NE REMUST WP-II topic 3 - Field scenario,JE NE REMUST WP-II topic 3 - Troubleshooting step,A,1.00
JE NE REMUST,WP-II,60,70,70,JE NE REMUST WP-II practice question 014,JE NE REMUST WP-II topic 3 - Concept overview,JE NE REMUST WP-II topic 3 - Applied example,JE NE REMUST WP-II topic 3 - Field scenario,JE NE REMUST WP-II topic 3 - Troubleshooting step,B,1.00
JE NE REMUST,WP-II,60,70,70,JE NE REMUST WP-II practice question 015,JE NE REMUST WP-II topic 3 - Concept overview,JE NE REMUST WP-II topic 3 - Applied example,JE NE REMUST WP-II topic 3 - Field scenario,JE NE REMUST WP-II topic 3 - Troubleshooting step,C,1.00
JE NE REMUST,WP-II,60,70,70,JE NE REMUST WP-II practice question 016,JE NE REMUST WP-II topic 4 - Concept overview,JE NE REMUST WP-II topic 4 - Applied example,JE NE REMUST WP-II topic 4 - Field scenario,JE NE REMUST WP-II topic 4 - Troubleshooting step,D,1.00
JE NE REMUST,WP-II,60,70,70,JE NE REMUST WP-II practice question 017,JE NE REMUST WP-II topic 4 - Concept overview,JE NE REMUST WP-II topic 4 - Applied example,JE NE REMUST WP-II topic 4 - Field scenario,JE NE REMUST WP-II topic 4 - Troubleshooting step,A,1.00
JE NE REMUST,WP-II,60,70,70,JE NE REMUST WP-II practice question 018,JE NE REMUST WP-II topic 4 - Concept overview,JE NE REMUST WP-II topic 4 - Applied example,JE NE REMUST WP-II topic 4 - Field scenario,JE NE REMUST WP-II topic 4 - Troubleshooting step,B,1.00
JE NE REMUST,WP-II,60,70,70,JE NE REMUST WP-II practice question 019,JE NE REMUST WP-II topic 4 - Concept overview,JE NE REMUST WP-II topic 4 - Applied example,JE NE REMUST WP-II topic 4 - Field scenario,JE NE REMUST WP-II topic 4 - Troubleshooting step,C,1.00
JE NE REMUST,WP-II,60,70,70,JE NE REMUST WP-II practice question 020,JE NE REMUST WP-II topic 4 - Concept overview,JE NE REMUST WP-II topic 4 - Applied example,JE NE REMUST WP-II topic 4 - Field scenario,JE NE REMUST WP-II topic 4 - Troubleshooting step,D,1.00
JE NE REMUST,WP-II,60,70,70,JE NE REMUST WP-II practice question 021,JE NE REMUST WP-II topic 5 - Concept overview,JE NE REMUST WP-II topic 5 - Applied example,JE NE REMUST WP-II topic 5 - Field scenario,JE NE REMUST WP-II topic 5 - Troubleshooting step,A,1.00
JE NE REMUST,WP-II,60,70,70,JE NE REMUST WP-II practice question 022,JE NE REMUST WP-II topic 5 - Concept overview,JE NE REMUST WP-II topic 5 - Applied example,JE NE REMUST WP-II topic 5 - Field scenario,JE NE REMUST WP-II topic 5 - Troubleshooting step,B,1.00
JE NE REMUST,WP-II,60,70,70,JE NE REMUST WP-II practice question 023,JE NE REMUST WP-II topic 5 - Concept overview,JE NE REMUST WP-II topic 5 - Applied example,JE NE REMUST WP-II topic 5 - Field scenario,JE NE REMUST WP-II topic 5 - Troubleshooting step,C,1.00
JE NE REMUST,WP-II,60,70,70,JE NE REMUST WP-II practice question 024,JE NE REMUST WP-II topic 5 - Concept overview,JE NE REMUST WP-II topic 5 - Applied example,JE NE REMUST WP-II topic 5 - Field scenario,JE NE REMUST WP-II topic 5 - Troubleshooting step,D,1.00
JE NE REMUST,WP-II,60,70,70,JE NE REMUST WP-II practice question 025,JE NE REMUST WP-II topic 5 - Concept overview,JE NE REMUST WP-II topic 5 - Applied example,JE NE REMUST WP-II topic 5 - Field scenario,JE NE REMUST WP-II topic 5 - Troubleshooting step,A,1.00
JE NE REMUST,WP-II,60,70,70,JE NE REMUST WP-II practice question 026,JE NE REMUST WP-II topic 6 - Concept overview,JE NE REMUST WP-II topic 6 - Applied example,JE NE REMUST WP-II topic 6 - Field scenario,JE NE REMUST WP-II topic 6 - Troubleshooting step,B,1.00
JE NE REMUST,WP-II,60,70,70,JE NE REMUST WP-II practice question 027,JE NE REMUST WP-II topic 6 - Concept overview,JE NE REMUST WP-II topic 6 - Applied example,JE NE REMUST WP-II topic 6 - Field scenario,JE NE REMUST WP-II topic 6 - Troubleshooting step,C,1.00
JE NE REMUST,WP-II,60,70,70,JE NE REMUST WP-II practice question 028,JE NE REMUST WP-II topic 6 - Concept overview,JE NE REMUST WP-II topic 6 - Applied example,JE NE REMUST WP-II topic 6 - Field scenario,JE NE REMUST WP-II topic 6 - Troubleshooting step,D,1.00
JE NE REMUST,WP-II,60,70,70,JE NE REMUST WP-II practice question 029,JE NE REMUST WP-II topic 6 - Concept overview,JE NE REMUST WP-II topic 6 - Applied example,JE NE REMUST WP-II topic 6 - Field scenario,JE NE REMUST WP-II topic 6 - Troubleshooting step,A,1.00
JE NE REMUST,WP-II,60,70,70,JE NE REMUST WP-II practice question 030,JE NE REMUST WP-II topic 6 - Concept overview,JE NE REMUST WP-II topic 6 - Applied example,JE NE REMUST WP-II topic 6 - Field scenario,JE NE REMUST WP-II topic 6 - Troubleshooting step,B,1.00
JE NE REMUST,WP-II,60,70,70,JE NE REMUST WP-II practice question 031,JE NE REMUST WP-II topic 7 - Concept overview,JE NE REMUST WP-II topic 7 - Applied example,JE NE REMUST WP-II topic 7 - Field scenario,JE NE REMUST WP-II topic 7 - Troubleshooting step,C,1.00
JE NE REMUST,WP-II,60,70,70,JE NE REMUST WP-II practice question 032,JE NE REMUST WP-II topic 7 - Concept overview,JE NE REMUST WP-II topic 7 - Applied example,JE NE REMUST WP-II topic 7 - Field scenario,JE NE REMUST WP-II topic 7 - Troubleshooting step,D,1.00
JE NE REMUST,WP-II,60,70,70,JE NE REMUST WP-II practice question 033,JE NE REMUST WP-II topic 7 - Concept overview,JE NE REMUST WP-II topic 7 - Applied example,JE NE REMUST WP-II topic 7 - Field scenario,JE NE REMUST WP-II topic 7 - Troubleshooting step,A,1.00
JE NE REMUST,WP-II,60,70,70,JE NE REMUST WP-II practice question 034,JE NE REMUST WP-II topic 7 - Concept overview,JE NE REMUST WP-II topic 7 - Applied example,JE NE REMUST WP-II topic 7 - Field scenario,JE NE REMUST WP-II topic 7 - Troubleshooting step,B,1.00
JE NE REMUST,WP-II,60,70,70,JE NE REMUST WP-II practice question 035,JE NE REMUST WP-II topic 7 - Concept overview,JE NE REMUST WP-II topic 7 - Applied example,JE NE REMUST WP-II topic 7 - Field scenario,JE NE REMUST WP-II topic 7 - Troubleshooting step,C,1.00
DR CL-1,WP-I,25,50,50,DR CL-1 WP-I practice question 001,DR CL-1 WP-I topic 1 - Concept overview,DR CL-1 WP-I topic 1 - Applied example,DR CL-1 WP-I topic 1 - Field scenario,DR CL-1 WP-I topic 1 - Troubleshooting step,A,1.00
DR CL-1,WP-I,25,50,50,DR CL-1 WP-I practice question 002,DR CL-1 WP-I topic 1 - Concept overview,DR CL-1 WP-I topic 1 - Applied example,DR CL-1 WP-I topic 1 - Field scenario,DR CL-1 WP-I topic 1 - Troubleshooting step,B,1.00
DR CL-1,WP-I,25,50,50,DR CL-1 WP-I practice question 003,DR CL-1 WP-I topic 1 - Concept overview,DR CL-1 WP-I topic 1 - Applied example,DR CL-1 WP-I topic 1 - Field scenario,DR CL-1 WP-I topic 1 - Troubleshooting step,C,1.00
DR CL-1,WP-I,25,50,50,DR CL-1 WP-I practice question 004,DR CL-1 WP-I topic 1 - Concept overview,DR CL-1 WP-I topic 1 - Applied example,DR CL-1 WP-I topic 1 - Field scenario,DR CL-1 WP-I topic 1 - Troubleshooting step,D,1.00
DR CL-1,WP-I,25,50,50,DR CL-1 WP-I practice question 005,DR CL-1 WP-I topic 1 - Concept overview,DR CL-1 WP-I topic 1 - Applied example,DR CL-1 WP-I topic 1 - Field scenario,DR CL-1 WP-I topic 1 - Troubleshooting step,A,1.00
DR CL-1,WP-I,25,50,50,DR CL-1 WP-I practice question 006,DR CL-1 WP-I topic 2 - Concept overview,DR CL-1 WP-I topic 2 - Applied example,DR CL-1 WP-I topic 2 - Field scenario,DR CL-1 WP-I topic 2 - Troubleshooting step,B,1.00
DR CL-1,WP-I,25,50,50,DR CL-1 WP-I practice question 007,DR CL-1 WP-I topic 2 - Concept overview,DR CL-1 WP-I topic 2 - Applied example,DR CL-1 WP-I topic 2 - Field scenario,DR CL-1 WP-I topic 2 - Troubleshooting step,C,1.00
DR CL-1,WP-I,25,50,50,DR CL-1 WP-I practice question 008,DR CL-1 WP-I topic 2 - Concept overview,DR CL-1 WP-I topic 2 - Applied example,DR CL-1 WP-I topic 2 - Field scenario,DR CL-1 WP-I topic 2 - Troubleshooting step,D,1.00
DR CL-1,WP-I,25,50,50,DR CL-1 WP-I practice question 009,DR CL-1 WP-I topic 2 - Concept overview,DR CL-1 WP-I topic 2 - Applied example,DR CL-1 WP-I topic 2 - Field scenario,DR CL-1 WP-I topic 2 - Troubleshooting step,A,1.00
DR CL-1,WP-I,25,50,50,DR CL-1 WP-I practice question 010,DR CL-1 WP-I topic 2 - Concept overview,DR CL-1 WP-I topic 2 - Applied example,DR CL-1 WP-I topic 2 - Field scenario,DR CL-1 WP-I topic 2 - Troubleshooting step,B,1.00
DR CL-1,WP-I,25,50,50,DR CL-1 WP-I practice question 011,DR CL-1 WP-I topic 3 - Concept overview,DR CL-1 WP-I topic 3 - Applied example,DR CL-1 WP-I topic 3 - Field scenario,DR CL-1 WP-I topic 3 - Troubleshooting step,C,1.00
DR CL-1,WP-I,25,50,50,DR CL-1 WP-I practice question 012,DR CL-1 WP-I topic 3 - Concept overview,DR CL-1 WP-I topic 3 - Applied example,DR CL-1 WP-I topic 3 - Field scenario,DR CL-1 WP-I topic 3 - Troubleshooting step,D,1.00
DR CL-1,WP-I,25,50,50,DR CL-1 WP-I practice question 013,DR CL-1 WP-I topic 3 - Concept overview,DR CL-1 WP-I topic 3 - Applied example,DR CL-1 WP-I topic 3 - Field scenario,DR CL-1 WP-I topic 3 - Troubleshooting step,A,1.00
DR CL-1,WP-I,25,50,50,DR CL-1 WP-I practice question 014,DR CL-1 WP-I topic 3 - Concept overview,DR CL-1 WP-I topic 3 - Applied example,DR CL-1 WP-I topic 3 - Field scenario,DR CL-1 WP-I topic 3 - Troubleshooting step,B,1.00
DR CL-1,WP-I,25,50,50,DR CL-1 WP-I practice question 015,DR CL-1 WP-I topic 3 - Concept overview,DR CL-1 WP-I topic 3 - Applied example,DR CL-1 WP-I topic 3 - Field scenario,DR CL-1 WP-I topic 3 - Troubleshooting step,C,1.00
DR CL-1,WP-I,25,50,50,DR CL-1 WP-I practice question 016,DR CL-1 WP-I topic 4 - Concept overview,DR CL-1 WP-I topic 4 - Applied example,DR CL-1 WP-I topic 4 - Field scenario,DR CL-1 WP-I topic 4 - Troubleshooting step,D,1.00
DR CL-1,WP-I,25,50,50,DR CL-1 WP-I practice question 017,DR CL-1 WP-I topic 4 - Concept overview,DR CL-1 WP-I topic 4 - Applied example,DR CL-1 WP-I topic 4 - Field scenario,DR CL-1 WP-I topic 4 - Troubleshooting step,A,1.00
DR CL-1,WP-I,25,50,50,DR CL-1 WP-I practice question 018,DR CL-1 WP-I topic 4 - Concept overview,DR CL-1 WP-I topic 4 - Applied example,DR CL-1 WP-I topic 4 - Field scenario,DR CL-1 WP-I topic 4 - Troubleshooting step,B,1.00
DR CL-1,WP-I,25,50,50,DR CL-1 WP-I practice question 019,DR CL-1 WP-I topic 4 - Concept overview,DR CL-1 WP-I topic 4 - Applied example,DR CL-1 WP-I topic 4 - Field scenario,DR CL-1 WP-I topic 4 - Troubleshooting step,C,1.00
DR CL-1,WP-I,25,50,50,DR CL-1 WP-I practice question 020,DR CL-1 WP-I topic 4 - Concept overview,DR CL-1 WP-I topic 4 - Applied example,DR CL-1 WP-I topic 4 - Field scenario,DR CL-1 WP-I topic 4 - Troubleshooting step,D,1.00
DR CL-1,WP-I,25,50,50,DR CL-1 WP-I practice question 021,DR CL-1 WP-I topic 5 - Concept overview,DR CL-1 WP-I topic 5 - Applied example,DR CL-1 WP-I topic 5 - Field scenario,DR CL-1 WP-I topic 5 - Troubleshooting step,A,1.00
DR CL-1,WP-I,25,50,50,DR CL-1 WP-I practice question 022,DR CL-1 WP-I topic 5 - Concept overview,DR CL-1 WP-I topic 5 - Applied example,DR CL-1 WP-I topic 5 - Field scenario,DR CL-1 WP-I topic 5 - Troubleshooting step,B,1.00
DR CL-1,WP-I,25,50,50,DR CL-1 WP-I practice question 023,DR CL-1 WP-I topic 5 - Concept overview,DR CL-1 WP-I topic 5 - Applied example,DR CL-1 WP-I topic 5 - Field scenario,DR CL-1 WP-I topic 5 - Troubleshooting step,C,1.00
DR CL-1,WP-I,25,50,50,DR CL-1 WP-I practice question 024,DR CL-1 WP-I topic 5 - Concept overview,DR CL-1 WP-I topic 5 - Applied example,DR CL-1 WP-I topic 5 - Field scenario,DR CL-1 WP-I topic 5 - Troubleshooting step,D,1.00
DR CL-1,WP-I,25,50,50,DR CL-1 WP-I practice question 025,DR CL-1 WP-I topic 5 - Concept overview,DR CL-1 WP-I topic 5 - Applied example,DR CL-1 WP-I topic 5 - Field scenario,DR CL-1 WP-I topic 5 - Troubleshooting step,A,1.00
DR CL-1,WP-I,25,50,50,DR CL-1 WP-I practice question 026,DR CL-1 WP-I topic 6 - Concept overview,DR CL-1 WP-I topic 6 - Applied example,DR CL-1 WP-I topic 6 - Field scenario,DR CL-1 WP-I topic 6 - Troubleshooting step,B,1.00
DR CL-1,WP-I,25,50,50,DR CL-1 WP-I practice question 027,DR CL-1 WP-I topic 6 - Concept overview,DR CL-1 WP-I topic 6 - Applied example,DR CL-1 WP-I topic 6 - Field scenario,DR CL-1 WP-I topic 6 - Troubleshooting step,C,1.00
DR CL-1,WP-I,25,50,50,DR CL-1 WP-I practice question 028,DR CL-1 WP-I topic 6 - Concept overview,DR CL-1 WP-I topic 6 - Applied example,DR CL-1 WP-I topic 6 - Field scenario,DR CL-1 WP-I topic 6 - Troubleshooting step,D,1.00
